CF,xc,yc,tc,projected_area,xwidth,ywidth,height,volume,duration,total_intensity,mean_intensity,max_intensity,xmax,ymax,tmax,variance,xbary,ybary,tbary,barintensity,relative_variance,x_image,y_image,lon_carrington,lat_carrington,corrcoeff,LOSdist,x_shift,y_shift,major_axis,minor_axis,angle
20,48.0,103.5,313.0,6,2,3,nan,17,4,5470,321.7647058823529,373,47,103,311,898.4999999999998,48,103,312,344,2.9235357917570495,573.650666975655,703.1761661563903,150.56626506024097,17.03413654618474,nan,nan,nan,nan,3.265986323710904,2.0,0.0
21,123.0,75.0,65.5,14,4,4,nan,54,7,17427,322.72222222222223,528,123,74,65,901.3023428310763,123,74,65,528,2.8836350019828396,646.966787126518,674.8064965948541,151.48192771084337,16.7429718875502,nan,nan,nan,nan,4.318667337728677,3.6794648440311994,0.7853981633974483
22,68.0,69.5,313.5,68,6,17,nan,618,35,207893,336.39644012944984,504,68,71,312,915.9703175212577,67,70,312,470,2.7925817494515806,594.2138943721716,674.4479226626728,150.81927710843374,16.71285140562249,nan,nan,nan,nan,9.089570729873849,3.8929698368600563,0.06369707836699777
23,134.5,68.5,35.5,48,7,9,nan,647,53,221109,341.7449768160742,533,134,68,37,888.042950131693,135,68,38,484,2.6985558839636687,657.5867024118925,669.1414982372321,151.6144578313253,16.68273092369478,nan,nan,nan,nan,6.976925692236019,3.87714565781457,0.4163455586278095
24,132.0,77.5,173.5,14,4,5,nan,89,11,28769,323.24719101123594,484,131,77,171,830.8829233514691,131,77,173,379,2.6720850421215996,654.5833992647988,677.0975410687066,151.57831325301206,16.77309236947791,nan,nan,nan,nan,4.3616645597524775,3.756591133295642,1.3303526866972286
25,149.5,88.5,256.5,27,5,7,nan,144,15,57648,400.3333333333333,565,149,90,249,1027.6654052344534,150,88,254,385,2.654354612280763,671.5925272039656,687.6978994187541,151.79518072289156,16.903614457831324,nan,nan,nan,nan,5.271572221283753,4.5005385950383054,0.7853981633974481
26,101.5,92.0,137.0,44,9,10,nan,313,18,110958,354.49840255591056,598,103,90,145,918.589874285595,102,91,138,,2.6424898002108175,627.5781849442344,689.5426037311773,151.24096385542168,16.903614457831324,nan,nan,nan,nan,14.242415392288041,3.6356022600824596,-0.6037691320344094
27,115.0,75.0,347.5,51,12,8,nan,295,25,100841,341.83389830508474,549,114,74,341,871.9989709026916,113,74,345,335,2.6009072890679628,638.3431924044205,675.1694925678709,151.3734939759036,16.7429718875502,nan,nan,nan,nan,8.619178981822024,3.8491985715258,0.7658720761522636
28,48.0,138.0,158.5,34,6,8,nan,204,17,67697,331.8480392156863,471,48,136,162,826.1780044147289,47,136,159,363,2.587004976052592,574.196437173402,731.8215395358673,150.57831325301206,17.365461847389557,nan,nan,nan,nan,7.69542635828915,3.53157516435271,-0.8492121584852098
29,70.0,108.0,69.0,43,10,10,nan,405,36,136722,337.5851851851852,512,71,107,66,682.2099285767823,71,108,66,500,2.1011367671915506,596.6562708375532,705.6489223784268,150.85542168674698,17.07429718875502,nan,nan,nan,nan,11.038328487411945,3.438309304099413,0.6893741547770833
30,155.0,88.5,283.5,19,6,5,nan,47,5,18848,401.02127659574467,572,154,88,281,769.8577198709194,154,88,282,424,2.0045485067300954,676.4008427852154,685.7603213897895,151.85542168674698,16.883534136546185,nan,nan,nan,nan,6.27506632630675,3.833479458809703,-0.9087585742189765
31,141.0,60.0,76.5,15,4,4,nan,56,7,17978,321.0357142857143,434,140,60,75,622.4160464493877,140,59,76,356,1.992409152564201,663.4462331530974,661.9351910090533,151.6867469879518,16.602409638554217,nan,nan,nan,nan,4.318667337728677,3.6794648440311994,-0.7853981633974483
32,116.0,74.5,314.5,54,6,15,nan,257,21,87648,341.0428015564202,540,116,72,319,644.3535893513179,116,75,317,,1.9824014295999197,640.2876272112587,673.3473293291544,151.3975903614458,16.722891566265062,nan,nan,nan,nan,15.769667613609045,4.058905190807666,-0.19250332648269428
33,133.5,77.0,7.5,42,11,8,nan,216,15,74951,346.9953703703704,495,130,78,3,668.2116231363757,133,77,6,,1.976849225640018,653.6114750191518,678.0080950624326,151.56626506024097,16.783132530120483,nan,nan,nan,nan,13.13539169721923,3.3005208109245414,-1.0395589577979893
34,141.0,115.0,74.5,20,4,8,nan,90,11,30539,339.3222222222222,436,141,113,76,635.9513405037633,141,114,75,392,1.937161278370197,663.5682528586876,708.023306519231,151.6987951807229,17.134538152610443,nan,nan,nan,nan,7.554371880072024,1.9753176197160076,-0.037429923855383435
35,176.0,92.5,170.5,12,4,5,nan,26,5,10712,412.0,566,176,94,169,784.4319753086412,176,93,170,422,1.9010643915764198,697.2861056220563,690.1233500486862,152.12048192771084,16.943775100401606,nan,nan,nan,nan,3.885753375057407,2.7954428906961324,0.3543131360638352
36,131.0,77.0,342.5,38,6,10,nan,369,35,121598,329.5338753387534,466,130,77,346,604.2914793704965,130,77,345,423,1.8796410345164911,653.626212932912,677.1375381340313,151.56626506024097,16.77309236947791,nan,nan,nan,nan,9.268584679978508,2.6330294724721974,-0.44763706736514475
37,9.0,112.0,108.5,68,16,18,nan,736,55,207921,282.5013586956522,411,11,110,102,518.9714420054079,9,112,107,317,1.8685857962165022,538.9219765541752,710.8024056879891,150.13253012048193,17.104417670682732,nan,nan,nan,nan,9.764639753695004,3.276920884086026,-0.7027243420014357
38,78.0,138.5,8.0,16,4,5,nan,49,8,15969,325.8979591836735,387,77,136,5,578.4842664930554,78,138,7,329,1.8271330045074186,602.0011779209779,730.6100146767288,150.9277108433735,17.365461847389557,nan,nan,nan,nan,3.885753375057407,2.7954428906961324,1.2164831907310614
39,154.0,89.5,277.0,20,6,5,nan,29,2,11780,406.2068965517241,537,153,89,277,723.3111419753087,153,89,277,537,1.8265176632700941,675.4293636328619,686.6699723850355,151.84337349397592,16.893574297188756,nan,nan,nan,nan,6.425028696471611,3.9394169936065797,-1.100937857133113
40,107.5,55.0,26.0,76,11,24,nan,860,52,246429,286.5453488372093,488,110,62,40,501.5242820886829,109,57,26,332,1.7843128771475703,634.6675434139277,664.8822913831577,151.32530120481928,16.622489959839356,nan,nan,nan,nan,12.3707235552841,2.9564689957482737,0.32261330529419263
41,157.0,93.5,184.5,29,8,5,nan,47,5,20422,434.51063829787233,552,155,93,186,738.9727160493834,157,93,184,395,1.7548859306950013,677.2723546082398,690.0722839688974,151.86746987951807,16.933734939759034,nan,nan,nan,nan,5.033222956847167,4.575835618216445,0.5585993153435619
42,141.0,89.5,274.5,18,8,3,nan,74,7,27180,367.2972972972973,485,140,89,276,621.6681430046509,141,89,275,432,1.7414938635842643,663.008558475045,687.1839626011307,151.6867469879518,16.893574297188756,nan,nan,nan,nan,6.324555320336759,3.122498999199199,1.5707963267948966
43,47.5,149.0,264.5,29,7,6,nan,148,15,47763,322.72297297297297,421,46,147,259,536.1302253721528,48,149,263,304,1.724775215251708,572.1276012489259,741.4618501301277,150.55421686746988,17.47590361445783,nan,nan,nan,nan,6.613378634067305,3.8500939004733454,1.0271216641810477
44,156.5,98.5,36.5,38,5,13,nan,219,15,100375,458.3333333333333,579,156,101,29,764.1893149198189,156,100,35,410,1.6893149069083773,678.0903787329455,696.9937015219041,151.87951807228916,17.014056224899598,nan,nan,nan,nan,9.951103433780345,3.086880048214451,0.20207327530457073
45,160.5,95.0,122.5,25,7,6,nan,71,9,30976,436.28169014084506,562,160,94,123,715.0971393875886,160,95,122,438,1.6725611862573564,682.0275634651766,690.7463289858663,151.9277108433735,16.943775100401606,nan,nan,nan,nan,4.20883424647321,4.120630029101703,-1.5707963267948963
46,53.0,95.0,38.5,30,8,6,nan,211,17,73547,348.563981042654,502,54,95,37,556.4841000727553,54,95,38,478,1.6345425814592542,580.4751658018613,695.9220058483087,150.65060240963857,16.953815261044177,nan,nan,nan,nan,8.944706248701525,3.4534206841855433,-1.3932579939426166
47,22.5,86.0,93.5,8,3,4,nan,20,5,6015,300.75,350,23,86,94,474.24640000000016,22,85,93,289,1.616051250596334,550.7259519836309,689.4090935309376,150.27710843373495,16.863453815261046,nan,nan,nan,nan,3.098386676965933,1.7888543819998317,0.3217505543966422
48,151.0,108.0,39.5,21,6,4,nan,94,9,38711,411.8191489361702,553,152,107,42,650.9779290347045,151,107,40,493,1.613821299987971,674.1698056482528,702.3703408790112,151.83132530120483,17.07429718875502,nan,nan,nan,nan,6.5678652845588505,3.524017758105405,-1.2968645610439788
49,154.0,108.5,125.0,14,4,5,nan,23,2,10081,438.30434782608694,581,153,108,125,699.8059763313619,153,108,125,581,1.60929006957381,675.1064391529594,703.2008011885096,151.84337349397592,17.08433734939759,nan,nan,nan,nan,4.671532635926294,3.5550416724722087,0.660408852667037
